user_id,movie_id,rating
1,152,5
1,153,4
1,91,3
1,102,4
1,182,5
1,4,2
1,36,4
1,107,3
1,105,5
1,141,4
2,9,5
2,1,5
2,64,4
2,152,2
2,13,5
2,53,3
2,56,4
2,113,3
2,50,4
2,15,5
3,2,5
3,106,4
3,39,5
3,30,2
3,6,3
3,181,5
3,130,5
3,146,4
3,117,1
3,168,4
3,142,5
4,41,5
4,22,4
4,154,3
4,90,2
4,100,5
4,128,3
4,111,4
4,176,1
4,21,5
4,115,4
5,132,4
5,106,3
5,124,2
5,95,4
5,38,3
5,83,5
5,151,3
5,160,4
5,76,2
5,4,2
6,68,5
6,69,5
6,15,5
6,86,4
6,11,5
6,103,3
6,54,5
6,1,5
6,12,4
6,155,2
7,31,5
7,140,4
7,89,5
7,110,3
7,183,4
7,152,5
7,19,4
7,138,3
7,109,2
7,35,4
8,93,3
8,128,2
8,122,5
8,3,5
8,8,4
8,144,3
8,163,5
8,27,4
8,127,3
8,133,4
9,112,5
9,105,5
9,91,4
9,7,5
9,16,2
9,135,5
9,14,5
9,143,3
9,51,4
9,181,5
10,17,4
10,12,3
10,45,4
10,66,5
10,159,5
10,97,4
10,166,3
10,104,5
10,71,4
10,150,2
11,169,4
11,42,3
11,82,5
11,81,4
11,70,5
11,34,5
11,28,4
11,72,3
11,125,2
11,156,3
12,29,5
12,23,4
12,20,5
12,175,3
12,99,2
12,134,3
12,40,4
12,149,1
12,61,5
12,173,5
13,46,5
13,85,4
13,114,3
13,44,5
13,60,4
13,79,2
13,119,3
13,186,4
13,157,3
13,96,5
14,18,4
14,57,5
14,98,3
14,67,5
14,148,4
14,170,3
14,179,4
14,108,5
14,152,5
14,139,3
15,180,5
15,102,4
15,33,3
15,123,5
15,118,4
15,43,3
15,73,5
15,92,4
15,101,2
15,63,5
16,78,4
16,145,5
16,165,3
16,55,5
16,162,4
16,136,2
16,84,5
16,26,3
16,116,4
16,172,5
17,75,4
17,167,5
17,164,5
17,24,2
17,74,3
17,62,4
17,48,5
17,32,3
17,77,2
17,178,4
18,177,5
18,147,5
18,120,4
18,158,3
18,161,4
18,131,2
18,10,4
18,49,5
18,80,3
18,171,4
19,94,3
19,121,4
19,185,5
19,115,5
19,137,3
19,47,5
19,52,4
19,174,5
19,59,4
19,88,3
20,5,5
20,25,5
20,30,3
20,129,4
20,184,2
20,65,3
20,126,5
20,37,4
20,58,4
20,87,3
